AutoCivil-Lab Research Log
[2026-03-11 13:00] Baseline | Model: RandomForestRegressor | RMSE: 2.90 | R2: 0.97 | Composite: 0.941 | Validation: WARN | Threshold established
[2026-03-11 13:19] Trial 030 | Model: GradientBoosting | n_estimators=300 learning_rate=0.1537 max_depth=6 min_samples_split=10 min_samples_leaf=2 subsample=0.8534 | RMSE: 2.52 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 031 | Model: GradientBoosting | n_estimators=300 learning_rate=0.06762 max_depth=3 min_samples_split=7 min_samples_leaf=3 subsample=0.8098 | RMSE: 3.28 | R2: 0.96 | Composite: 0.930 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 032 | Model: GradientBoosting | n_estimators=150 learning_rate=0.0682 max_depth=6 min_samples_split=8 min_samples_leaf=6 subsample=0.9386 | RMSE: 2.72 | R2: 0.97 | Composite: 0.945 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 033 | Model: SVR | C=50.8 epsilon=0.7577 kernel=sigmoid gamma=scale | RMSE: 662.19 | R2: -1561.58 | Composite: -479.296 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:20] Trial 034 | Model: LightGBM | n_estimators=500 learning_rate=0.277 num_leaves=15 min_child_samples=27 subsample=0.704 colsample_bytree=0.6753 | RMSE: 2.52 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 035 | Model: GradientBoosting | n_estimators=450 learning_rate=0.01156 max_depth=4 min_samples_split=3 min_samples_leaf=4 subsample=0.626 | RMSE: 3.99 | R2: 0.94 | Composite: 0.911 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 036 | Model: LightGBM | n_estimators=250 learning_rate=0.03597 num_leaves=21 min_child_samples=30 subsample=0.8388 colsample_bytree=0.781 | RMSE: 3.19 | R2: 0.96 | Composite: 0.932 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 037 | Model: XGBoost | n_estimators=100 learning_rate=0.2838 max_depth=10 min_child_weight=1.031 subsample=0.9289 colsample_bytree=0.6981 reg_alpha=9.251 | RMSE: 2.83 | R2: 0.97 | Composite: 0.943 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 038 | Model: LightGBM | n_estimators=450 learning_rate=0.1014 num_leaves=21 min_child_samples=15 subsample=0.7331 colsample_bytree=0.7727 | RMSE: 2.47 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 039 | Model: RandomForest | n_estimators=600 max_depth=6 min_samples_split=3 min_samples_leaf=4 max_features=log2 | RMSE: 4.92 | R2: 0.91 | Composite: 0.885 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 040 | Model: Ridge | alpha=30.93 fit_intercept=True solver=cholesky | RMSE: 6.79 | R2: 0.84 | Composite: 0.827 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:20] Trial 041 | Model: XGBoost | n_estimators=150 learning_rate=0.1855 max_depth=3 min_child_weight=9.58 subsample=0.6168 colsample_bytree=0.7904 reg_alpha=0.01609 | RMSE: 3.42 | R2: 0.96 | Composite: 0.927 | Validation: WARN | ❌ No improvement
[2026-03-11 13:20] Trial 042 | Model: LightGBM | n_estimators=450 learning_rate=0.08309 num_leaves=21 min_child_samples=16 subsample=0.7253 colsample_bytree=0.7835 | RMSE: 2.49 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
